英文術語,英文全名 / 展開,中文名稱,中文簡義,英文意義,所屬領域,初級基礎,中級重點,考試提示
Artificial Intelligence,Artificial Intelligence,人工智慧,讓系統執行需要人類智慧的任務，是 ML、DL、GenAI 的上層概念。,Systems that perform tasks requiring human-like intelligence,AI 基礎與分類,L11101,All L21/L22,Layer above ML and DL
Machine Learning,Machine Learning,機器學習,讓模型從資料中學規律，用來分類、預測、分群或排序。,Learning patterns from data,AI 基礎與分類,L11301,L21301/L22302/L22401,Data-driven prediction
Deep Learning,Deep Learning,深度學習,使用多層神經網路自動學特徵，常用於影像、語音、文字與生成式 AI。,Neural-network-based machine learning with many layers,AI 基礎與分類,L11301,L21101-L21104,Neural networks / representation learning
Discriminative AI,Discriminative AI,鑑別式 AI,根據輸入判斷類別或數值，重點是「判斷答案」。,Predicts label or numeric output from input,AI 基礎與分類,L11401,L22402,Classification / fraud / churn / spam
Generative AI,Generative AI,生成式 AI,根據提示或條件產生文字、圖片、音訊、程式碼等新內容。,Creates new content such as text images audio or code,AI 基礎與分類,L11401/L12201,L21103/L22403,Generate content
Multimodal AI,Multimodal AI,多模態 AI,同時處理文字、圖片、語音等多種資料型態。,Handles multiple modalities such as text image and audio,AI 基礎與分類,L11402,L21104,Text plus image/audio
Structured Data,Structured Data,結構化資料,結構化資料：屬於「資料基礎」的考試關鍵詞；詳細英文定義見英文意義欄。,Table-like data with fixed schema,資料基礎,L11201,L22202,Rows columns schema
Semi-structured Data,Semi-structured Data,半結構化資料,半結構化資料：屬於「資料基礎」的考試關鍵詞；詳細英文定義見英文意義欄。,Flexible structured data such as JSON or XML,資料基礎,L11201,L22201/L22202,JSON logs APIs
Unstructured Data,Unstructured Data,非結構化資料,非結構化資料：屬於「資料基礎」的考試關鍵詞；詳細英文定義見英文意義欄。,Text image audio documents without fixed table schema,資料基礎,L11201,L21101-L21104,Text image audio
Data Quality,Data Quality,資料品質,資料品質：屬於「資料基礎」的考試關鍵詞；詳細英文定義見英文意義欄。,Completeness accuracy consistency timeliness uniqueness validity,資料基礎,L11202,L22201,Quality dimensions
Completeness,Completeness,完整性,完整性：屬於「資料品質」的考試關鍵詞；詳細英文定義見英文意義欄。,Whether required data is present,資料品質,L11202,L22201,Missing data
Accuracy,Accuracy,準確性,準確性：屬於「資料品質」的考試關鍵詞；詳細英文定義見英文意義欄。,Whether data values are correct,資料品質,L11202,L22201,Wrong values
Consistency,Consistency,一致性,一致性：屬於「資料品質」的考試關鍵詞；詳細英文定義見英文意義欄。,Whether data agrees across systems,資料品質,L11202,L22201,Conflicting records
Timeliness,Timeliness,即時性,即時性：屬於「資料品質」的考試關鍵詞；詳細英文定義見英文意義欄。,Whether data is current enough,資料品質,L11202,L22201,Delayed data
Uniqueness,Uniqueness,唯一性,唯一性：屬於「資料品質」的考試關鍵詞；詳細英文定義見英文意義欄。,Whether duplicates are avoided,資料品質,L11202,L22201,Deduplication
Validity,Validity,有效性,有效性：屬於「資料品質」的考試關鍵詞；詳細英文定義見英文意義欄。,Whether data follows rules or formats,資料品質,L11202,L22201,Invalid format/range
Mean,Mean,平均數,平均數：屬於「統計」的考試關鍵詞；詳細英文定義見英文意義欄。,Sum divided by count and sensitive to outliers,統計,L11202,L22101,Center without outliers
Median,Median,中位數,中位數：屬於「統計」的考試關鍵詞；詳細英文定義見英文意義欄。,Middle value and robust to outliers,統計,L11202,L22101,Use when outliers exist
Mode,Mode,眾數,眾數：屬於「統計」的考試關鍵詞；詳細英文定義見英文意義欄。,Most frequent value,統計,L11202,L22101,Categorical/common value
Variance,Variance,變異數,變異數：屬於「統計」的考試關鍵詞；詳細英文定義見英文意義欄。,Average squared deviation,統計,L11202,L22101,Spread / ddof trap
Standard Deviation,Standard Deviation,標準差,標準差：屬於「統計」的考試關鍵詞；詳細英文定義見英文意義欄。,Square root of variance,統計,L11202,L22101,Same unit as data
IQR,Interquartile Range,四分位距,四分位距：屬於「統計」的考試關鍵詞；詳細英文定義見英文意義欄。,Q3 minus Q1,統計,L11202,L22101,Robust spread
Fence,Fence,離群值界線,離群值界線：屬於「統計」的考試關鍵詞；詳細英文定義見英文意義欄。,Q1-1.5IQR and Q3+1.5IQR,統計,L11202,L22101,Outlier boundary
Boxplot Whisker,Boxplot Whisker,箱型圖鬚線,箱型圖鬚線：屬於「統計」的考試關鍵詞；詳細英文定義見英文意義欄。,Last real data point inside the fence,統計,L11202,L22101,Not the fence value
Skewness,Skewness,偏態,偏態：屬於「統計」的考試關鍵詞；詳細英文定義見英文意義欄。,Direction of distribution tail,統計,L11202,L22101,Right skew mean > median
Kurtosis,Kurtosis,峰度,峰度：屬於「統計」的考試關鍵詞；詳細英文定義見英文意義欄。,Measure of tail/heaviness or peakedness,統計,L11202,L22101,Fisher normal=0 / Pearson normal=3
CV,Coefficient of Variation,變異係數,變異係數：屬於「統計」的考試關鍵詞；詳細英文定義見英文意義欄。,SD divided by mean times 100 percent,統計,L11202,L22101,Compare spread across units
PMF,Probability Mass Function,機率質量函數,機率質量函數：屬於「機率分佈」的考試關鍵詞；詳細英文定義見英文意義欄。,Probability for discrete values,機率分佈,L11301,L22102,Discrete P(X=x)
PDF,Probability Density Function,機率密度函數,機率密度函數：屬於「機率分佈」的考試關鍵詞；詳細英文定義見英文意義欄。,Density for continuous variables,機率分佈,L11301,L22102,Continuous single point probability is 0
CDF,Cumulative Distribution Function,累積分佈函數,累積分佈函數：屬於「機率分佈」的考試關鍵詞；詳細英文定義見英文意義欄。,Probability up to a value,機率分佈,L11301,L22102,P(a<X<=b)=CDF(b)-CDF(a)
Normal Distribution,Normal Distribution,常態分佈,常態分佈：屬於「機率分佈」的考試關鍵詞；詳細英文定義見英文意義欄。,Bell-shaped distribution with mean and variance,機率分佈,L11301,L22102,scipy scale is sigma
Binomial Distribution,Binomial Distribution,二項分佈,二項分佈：屬於「機率分佈」的考試關鍵詞；詳細英文定義見英文意義欄。,Number of successes in n trials,機率分佈,L11301,L22102,Mean=np Var=np(1-p)
Poisson Distribution,Poisson Distribution,卜瓦松分佈,卜瓦松分佈：屬於「機率分佈」的考試關鍵詞；詳細英文定義見英文意義欄。,Counts events with rate lambda,機率分佈,L11301,L22102,Mean=Variance=lambda
Uniform Distribution,Uniform Distribution,均勻分佈,均勻分佈：屬於「機率分佈」的考試關鍵詞；詳細英文定義見英文意義欄。,Equal probability across interval,機率分佈,L11301,L22102,scipy scale=b-a
